#checklist_accession	ERC000011				
#unique_name_prefix					
sample_alias	tax_id	scientific_name	sample_title	sample_description	location number
31	1176744	pig metagenome	pig_3_2__	nasal swab from pig	3
312	646099	human metagenome	ne_52_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	52
313	646099	human metagenome	ne_53_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	53
315	646099	human metagenome	ne_53_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	53
32	655179	air metagenome	air sample from pig farm_3_0__	air sample from pig farm	3
33	646099	human metagenome	pigf_3_1_left_ant	nasal swab from pig farmer left nare anterior	3
35	646099	human metagenome	pigf_3_1_left_post	nasal swab from pig farmer left nare posterior	3
37	646099	human metagenome	pigf_3_2_left_ant	nasal swab from pig farmer left nare anterior	3
382	1176744	pig metagenome	pig_17_1__	nasal swab from pig	17
383	1176744	pig metagenome	pig_17_2__	nasal swab from pig	17
384	655179	air metagenome	air sample from pig farm_17_0__	air sample from pig farm	17
385	646099	human metagenome	pigf_17_1_left_ant	nasal swab from pig farmer left nare anterior	17
387	646099	human metagenome	pigf_17_1_left_post	nasal swab from pig farmer left nare posterior	17
389	646099	human metagenome	pigf_17_2_left_ant	nasal swab from pig farmer left nare anterior	17
39	646099	human metagenome	pigf_3_2_left_post	nasal swab from pig farmer left nare posterior	3
391	646099	human metagenome	pigf_17_2_left_post	nasal swab from pig farmer left nare posterior	17
4	646099	human metagenome	pigf_1_1_left_post	nasal swab from pig farmer left nare posterior	1
418	1176744	pig metagenome	pig_19_1__	nasal swab from pig	19
419	1176744	pig metagenome	pig_19_2__	nasal swab from pig	19
42	1176744	pig metagenome	pig_4_1__	nasal swab from pig	4
421	646099	human metagenome	pigf_19_1_left_ant	nasal swab from pig farmer left nare anterior	19
423	646099	human metagenome	pigf_19_1_left_post	nasal swab from pig farmer left nare posterior	19
425	646099	human metagenome	pigf_19_2_left_ant	nasal swab from pig farmer left nare anterior	19
427	646099	human metagenome	pigf_19_2_left_post	nasal swab from pig farmer left nare posterior	19
429	646099	human metagenome	cowf_32_0_left_ant	nasal swab from cow farmer left nare anterior	32
43	1176744	pig metagenome	pig_4_2__	nasal swab from pig	4
431	646099	human metagenome	cowf_32_0_left_post	nasal swab from cow farmer left nare posterior	32
44	655179	air metagenome	air sample from pig farm_4_0__	air sample from pig farm	4
45	646099	human metagenome	pigf_4_0_left_ant	nasal swab from pig farmer left nare anterior	4
47	646099	human metagenome	pigf_4_0_left_post	nasal swab from pig farmer left nare posterior	4
484	646099	human metagenome	cowf_33_1_left_ant	nasal swab from cow farmer left nare anterior	33
487	646099	human metagenome	cowf_33_1_left_post	nasal swab from cow farmer left nare posterior	33
488	646099	human metagenome	cowf_33_2_left_ant	nasal swab from cow farmer left nare anterior	33
490	646099	human metagenome	cowf_33_2_left_post	nasal swab from cow farmer left nare posterior	33
493	1176744	pig metagenome	pig_22_1__	nasal swab from pig	22
494	1176744	pig metagenome	pig_22_2__	nasal swab from pig	22
495	655179	air metagenome	air sample from pig farm_22_0__	air sample from pig farm	22
496	646099	human metagenome	pigf_22_1_left_ant	nasal swab from pig farmer left nare anterior	22
498	646099	human metagenome	pigf_22_1_left_post	nasal swab from pig farmer left nare posterior	22
50	1176744	pig metagenome	pig_5_1__	nasal swab from pig	5
